Job_Title,Company_Name,Location,Experience_Level,Salary_Range,Skills_Required,Job_Description,Industry,Employment_Type,Tokenized_Job_Description,Sentiment_Polarity,Sentiment_Label
full stack developer - delhi ncr,yes hr solutions,delhi ncr,Mid Level,Low,"c sharp, angular js, mongodb, dot net developer","4 years building web experiences with a focus on uifront-end and expert knowledge of developing restful services using .net and c.experience with angular, css, html, javascript, jquery. expertise with cross-browser, responsive, cross-platform and design constraints on the web. working with rest api web services.develop and maintain ui component library.participate in technical and design.",it-hardware  networking  it-software  software services,Work from Home,"['year', 'building', 'web', 'experience', 'focus', 'uifrontend', 'expert', 'knowledge', 'developing', 'restful', 'service', 'using', 'net', 'cexperience', 'angular', 'cs', 'html', 'javascript', 'jquery', 'expertise', 'crossbrowser', 'responsive', 'crossplatform', 'design', 'constraint', 'web', 'working', 'rest', 'api', 'web', 'servicesdevelop', 'maintain', 'ui', 'component', 'libraryparticipate', 'technical', 'design']",0.0,Neutral
full-stack developer,futorom examination services private limited,rohini sector 9  delhi,Mid Level,Medium,slack devloper,"we are seeking an experienced full-stack developer to join our dynamic team. the ideal candidate will have a strong background in modern web development technologies, including react, , , and postgresql or supabase. you will be responsible for building and maintaining high-quality web applications, integrating payment apis, and ensuring real-time communication through websockets.key responsibilities develop and maintain web applications using react and . build backend services with  or . design, implement, and manage databases using postgresql or supabase. integrate stripe and paypal apis for payment processing. implement real-time features using websockets. schedule and manage automated tasks using cron jobs. collaborate with cross-functional teams to define, design, and ship new features. optimize applications for maximum speed and scalability. write clean, maintainable, and well-documented code.qualifications experience minimum of x years of professional experience in full-stack development. frontend proficiency in react and . backend strong knowledge of  experience with  is a plus but not mandatory. database experience with postgresql or supabase. payment integration hands-on experience with stripe and paypal apis. real-time communication familiarity with websockets implementation. automation experience with setting up and managing cron jobs. other skills strong understanding of restful apis. familiarity with version control tools like git. ability to write unit and integration tests. excellent problem-solving skills and attention to detail. soft skills strong communication and teamwork abilities. ability to work independently and manage time effectively. eagerness to learn and adapt to new technologies.nice to have experience with supabase as a postgresql alternative. familiarity with other backend frameworks. knowledge",it-hardware  networking  it-software  software services,Work from Home,"['seeking', 'experienced', 'fullstack', 'developer', 'join', 'dynamic', 'team', 'ideal', 'candidate', 'strong', 'background', 'modern', 'web', 'development', 'technology', 'including', 'react', 'postgresql', 'supabase', 'responsible', 'building', 'maintaining', 'highquality', 'web', 'application', 'integrating', 'payment', 'apis', 'ensuring', 'realtime', 'communication', 'websocketskey', 'responsibility', 'develop', 'maintain', 'web', 'application', 'using', 'react', 'build', 'backend', 'service', 'design', 'implement', 'manage', 'database', 'using', 'postgresql', 'supabase', 'integrate', 'stripe', 'paypal', 'apis', 'payment', 'processing', 'implement', 'realtime', 'feature', 'using', 'websockets', 'schedule', 'manage', 'automated', 'task', 'using', 'cron', 'job', 'collaborate', 'crossfunctional', 'team', 'define', 'design', 'ship', 'new', 'feature', 'optimize', 'application', 'maximum', 'speed', 'scalability', 'write', 'clean', 'maintainable', 'welldocumented', 'codequalifications', 'experience', 'minimum', 'x', 'year', 'professional', 'experience', 'fullstack', 'development', 'frontend', 'proficiency', 'react', 'backend', 'strong', 'knowledge', 'experience', 'plus', 'mandatory', 'database', 'experience', 'postgresql', 'supabase', 'payment', 'integration', 'handson', 'experience', 'stripe', 'paypal', 'apis', 'realtime', 'communication', 'familiarity', 'websockets', 'implementation', 'automation', 'experience', 'setting', 'managing', 'cron', 'job', 'skill', 'strong', 'understanding', 'restful', 'apis', 'familiarity', 'version', 'control', 'tool', 'like', 'git', 'ability', 'write', 'unit', 'integration', 'test', 'excellent', 'problemsolving', 'skill', 'attention', 'detail', 'soft', 'skill', 'strong', 'communication', 'teamwork', 'ability', 'ability', 'work', 'independently', 'manage', 'time', 'effectively', 'eagerness', 'learn', 'adapt', 'new', 'technologiesnice', 'experience', 'supabase', 'postgresql', 'alternative', 'familiarity', 'backend', 'framework', 'knowledge']",0.3169856459330143,Positive
full stack developer - remote,spehre,ghaziabad,Mid Level,Low,"javascript, react js, html5, nodejs, typescript, mysql","internship and job opportunity at spehrespehre , a leading ai recruitment platform, offers a two-month remote internship program for students interested in full-stack developer roles.about spehre. we appreciate your interest in joining our network of talented professionals. to ensure we match the right candidates with our partners needs.eligibility criteria- graduates and freshers are eligible to applyinternship details- duration 2 months remote- areas of focus full stack developer benefits- upon completion, interns will receive- various certificates- performance-based stipend- letter of recommendation- potential for pre-placement offer ppo based on outstanding performancethis internship offers a valuable opportunity to gain hands-on experience and build a strong foundation in your chosen field. apply now to kickstart your career",it-hardware  networking  it-software  software services,Work from Home,"['internship', 'job', 'opportunity', 'spehrespehre', 'leading', 'ai', 'recruitment', 'platform', 'offer', 'twomonth', 'remote', 'internship', 'program', 'student', 'interested', 'fullstack', 'developer', 'rolesabout', 'spehre', 'appreciate', 'interest', 'joining', 'network', 'talented', 'professional', 'ensure', 'match', 'right', 'candidate', 'partner', 'needseligibility', 'criterion', 'graduate', 'fresher', 'eligible', 'applyinternship', 'detail', 'duration', 'month', 'remote', 'area', 'focus', 'full', 'stack', 'developer', 'benefit', 'upon', 'completion', 'intern', 'receive', 'various', 'certificate', 'performancebased', 'stipend', 'letter', 'recommendation', 'potential', 'preplacement', 'offer', 'ppo', 'based', 'outstanding', 'performancethis', 'internship', 'offer', 'valuable', 'opportunity', 'gain', 'handson', 'experience', 'build', 'strong', 'foundation', 'chosen', 'field', 'apply', 'kickstart', 'career']",0.2099206349206349,Positive
full stack developer,particleblack,chennai,Mid Level,Low,"js, node js","develop and maintain dynamic, full-stack applications using javascript, angular, and . collaborate with cross-functional teams to deliver high-quality, scalable software solutions from front-end to back-end.",it-hardware  networking  it-software  software services,Work from Home,"['develop', 'maintain', 'dynamic', 'fullstack', 'application', 'using', 'javascript', 'angular', 'collaborate', 'crossfunctional', 'team', 'deliver', 'highquality', 'scalable', 'software', 'solution', 'frontend', 'backend']",0.0,Neutral
direct walk-in for full stack developer,sharaa info tech,chennai,Mid Level,Low,"maven, front end design, postgre sql, j, java-script, agile, scrum, sql, back end processing, back end developer","job descriptionfull stack developer java spring boot  angularlocation  chennai , bangaloreabout this jobexperience level mid-level 3 yearsjob overviewwe are looking for a full stack developer with at least 3 years of experience in java spring boot and angular development. the candidate will be responsible for developing, maintaining, and optimizing full-stack applications, working on both the front-end and back-end to deliver high-quality solutions.key responsibilitiesdesign developmentdevelop interactive and responsive web applications using angular.design and implement restful apis using java spring boot.ensure the application is scalable and performs efficiently.required skillsback-end3 years of hands-on experience with java and spring boot.strong knowledge of building and consuming rest apis.experience with sql databases such as mysql, postgresql, or similar.front-endproficiency in angular latest versions, typescript, and javascript.strong experience with html5, css3, and building responsive uis.knowledge of component-based architecture and state management.role full stack developerindustry type it services  consultingdepartment engineering - software  qaemployment type full time, permanentrole category software developmenteducationug any graduatepg any postgraduate",it-hardware  networking  it-software  software services,Work from Office,"['job', 'descriptionfull', 'stack', 'developer', 'java', 'spring', 'boot', 'angularlocation', 'chennai', 'bangaloreabout', 'jobexperience', 'level', 'midlevel', 'yearsjob', 'overviewwe', 'looking', 'full', 'stack', 'developer', 'least', 'year', 'experience', 'java', 'spring', 'boot', 'angular', 'development', 'candidate', 'responsible', 'developing', 'maintaining', 'optimizing', 'fullstack', 'application', 'working', 'frontend', 'backend', 'deliver', 'highquality', 'solutionskey', 'responsibilitiesdesign', 'developmentdevelop', 'interactive', 'responsive', 'web', 'application', 'using', 'angulardesign', 'implement', 'restful', 'apis', 'using', 'java', 'spring', 'bootensure', 'application', 'scalable', 'performs', 'efficientlyrequired', 'skillsbackend', 'year', 'handson', 'experience', 'java', 'spring', 'bootstrong', 'knowledge', 'building', 'consuming', 'rest', 'apisexperience', 'sql', 'database', 'mysql', 'postgresql', 'similarfrontendproficiency', 'angular', 'latest', 'version', 'typescript', 'javascriptstrong', 'experience', 'html', 'cs', 'building', 'responsive', 'uisknowledge', 'componentbased', 'architecture', 'state', 'managementrole', 'full', 'stack', 'developerindustry', 'type', 'service', 'consultingdepartment', 'engineering', 'software', 'qaemployment', 'type', 'full', 'time', 'permanentrole', 'category', 'software', 'developmenteducationug', 'graduatepg', 'postgraduate']",0.2071428571428571,Positive
full stack developer - delhi ncr,yes hr solutions,delhi ncr,Mid Level,Low,"c sharp, angular js, mongodb, dot net developer","4 years building web experiences with a focus on uifront-end and expert knowledge of developing restful services using .net and c.experience with angular, css, html, javascript, jquery. expertise with cross-browser, responsive, cross-platform and design constraints on the web. working with rest api web services.develop and maintain ui component library.participate in technical and design.",it-hardware  networking  it-software  software services,Work from Home,"['year', 'building', 'web', 'experience', 'focus', 'uifrontend', 'expert', 'knowledge', 'developing', 'restful', 'service', 'using', 'net', 'cexperience', 'angular', 'cs', 'html', 'javascript', 'jquery', 'expertise', 'crossbrowser', 'responsive', 'crossplatform', 'design', 'constraint', 'web', 'working', 'rest', 'api', 'web', 'servicesdevelop', 'maintain', 'ui', 'component', 'libraryparticipate', 'technical', 'design']",0.0,Neutral
full-stack developer,futorom examination services private limited,rohini sector 9  delhi,Mid Level,Medium,slack devloper,"we are seeking an experienced full-stack developer to join our dynamic team. the ideal candidate will have a strong background in modern web development technologies, including react, , , and postgresql or supabase. you will be responsible for building and maintaining high-quality web applications, integrating payment apis, and ensuring real-time communication through websockets.key responsibilities develop and maintain web applications using react and . build backend services with  or . design, implement, and manage databases using postgresql or supabase. integrate stripe and paypal apis for payment processing. implement real-time features using websockets. schedule and manage automated tasks using cron jobs. collaborate with cross-functional teams to define, design, and ship new features. optimize applications for maximum speed and scalability. write clean, maintainable, and well-documented code.qualifications experience minimum of x years of professional experience in full-stack development. frontend proficiency in react and . backend strong knowledge of  experience with  is a plus but not mandatory. database experience with postgresql or supabase. payment integration hands-on experience with stripe and paypal apis. real-time communication familiarity with websockets implementation. automation experience with setting up and managing cron jobs. other skills strong understanding of restful apis. familiarity with version control tools like git. ability to write unit and integration tests. excellent problem-solving skills and attention to detail. soft skills strong communication and teamwork abilities. ability to work independently and manage time effectively. eagerness to learn and adapt to new technologies.nice to have experience with supabase as a postgresql alternative. familiarity with other backend frameworks. knowledge",it-hardware  networking  it-software  software services,Work from Home,"['seeking', 'experienced', 'fullstack', 'developer', 'join', 'dynamic', 'team', 'ideal', 'candidate', 'strong', 'background', 'modern', 'web', 'development', 'technology', 'including', 'react', 'postgresql', 'supabase', 'responsible', 'building', 'maintaining', 'highquality', 'web', 'application', 'integrating', 'payment', 'apis', 'ensuring', 'realtime', 'communication', 'websocketskey', 'responsibility', 'develop', 'maintain', 'web', 'application', 'using', 'react', 'build', 'backend', 'service', 'design', 'implement', 'manage', 'database', 'using', 'postgresql', 'supabase', 'integrate', 'stripe', 'paypal', 'apis', 'payment', 'processing', 'implement', 'realtime', 'feature', 'using', 'websockets', 'schedule', 'manage', 'automated', 'task', 'using', 'cron', 'job', 'collaborate', 'crossfunctional', 'team', 'define', 'design', 'ship', 'new', 'feature', 'optimize', 'application', 'maximum', 'speed', 'scalability', 'write', 'clean', 'maintainable', 'welldocumented', 'codequalifications', 'experience', 'minimum', 'x', 'year', 'professional', 'experience', 'fullstack', 'development', 'frontend', 'proficiency', 'react', 'backend', 'strong', 'knowledge', 'experience', 'plus', 'mandatory', 'database', 'experience', 'postgresql', 'supabase', 'payment', 'integration', 'handson', 'experience', 'stripe', 'paypal', 'apis', 'realtime', 'communication', 'familiarity', 'websockets', 'implementation', 'automation', 'experience', 'setting', 'managing', 'cron', 'job', 'skill', 'strong', 'understanding', 'restful', 'apis', 'familiarity', 'version', 'control', 'tool', 'like', 'git', 'ability', 'write', 'unit', 'integration', 'test', 'excellent', 'problemsolving', 'skill', 'attention', 'detail', 'soft', 'skill', 'strong', 'communication', 'teamwork', 'ability', 'ability', 'work', 'independently', 'manage', 'time', 'effectively', 'eagerness', 'learn', 'adapt', 'new', 'technologiesnice', 'experience', 'supabase', 'postgresql', 'alternative', 'familiarity', 'backend', 'framework', 'knowledge']",0.3169856459330143,Positive
full stack developer - remote,spehre,ghaziabad,Mid Level,Low,"javascript, react js, html5, nodejs, typescript, mysql","internship and job opportunity at spehrespehre , a leading ai recruitment platform, offers a two-month remote internship program for students interested in full-stack developer roles.about spehre. we appreciate your interest in joining our network of talented professionals. to ensure we match the right candidates with our partners needs.eligibility criteria- graduates and freshers are eligible to applyinternship details- duration 2 months remote- areas of focus full stack developer benefits- upon completion, interns will receive- various certificates- performance-based stipend- letter of recommendation- potential for pre-placement offer ppo based on outstanding performancethis internship offers a valuable opportunity to gain hands-on experience and build a strong foundation in your chosen field. apply now to kickstart your career",it-hardware  networking  it-software  software services,Work from Home,"['internship', 'job', 'opportunity', 'spehrespehre', 'leading', 'ai', 'recruitment', 'platform', 'offer', 'twomonth', 'remote', 'internship', 'program', 'student', 'interested', 'fullstack', 'developer', 'rolesabout', 'spehre', 'appreciate', 'interest', 'joining', 'network', 'talented', 'professional', 'ensure', 'match', 'right', 'candidate', 'partner', 'needseligibility', 'criterion', 'graduate', 'fresher', 'eligible', 'applyinternship', 'detail', 'duration', 'month', 'remote', 'area', 'focus', 'full', 'stack', 'developer', 'benefit', 'upon', 'completion', 'intern', 'receive', 'various', 'certificate', 'performancebased', 'stipend', 'letter', 'recommendation', 'potential', 'preplacement', 'offer', 'ppo', 'based', 'outstanding', 'performancethis', 'internship', 'offer', 'valuable', 'opportunity', 'gain', 'handson', 'experience', 'build', 'strong', 'foundation', 'chosen', 'field', 'apply', 'kickstart', 'career']",0.2099206349206349,Positive
full stack developer,particleblack,chennai,Mid Level,Low,"js, node js","develop and maintain dynamic, full-stack applications using javascript, angular, and . collaborate with cross-functional teams to deliver high-quality, scalable software solutions from front-end to back-end.",it-hardware  networking  it-software  software services,Work from Home,"['develop', 'maintain', 'dynamic', 'fullstack', 'application', 'using', 'javascript', 'angular', 'collaborate', 'crossfunctional', 'team', 'deliver', 'highquality', 'scalable', 'software', 'solution', 'frontend', 'backend']",0.0,Neutral
direct walk-in for full stack developer,sharaa info tech,chennai,Mid Level,Low,"maven, front end design, postgre sql, j, java-script, agile, scrum, sql, back end processing, back end developer","job descriptionfull stack developer java spring boot  angularlocation  chennai , bangaloreabout this jobexperience level mid-level 3 yearsjob overviewwe are looking for a full stack developer with at least 3 years of experience in java spring boot and angular development. the candidate will be responsible for developing, maintaining, and optimizing full-stack applications, working on both the front-end and back-end to deliver high-quality solutions.key responsibilitiesdesign developmentdevelop interactive and responsive web applications using angular.design and implement restful apis using java spring boot.ensure the application is scalable and performs efficiently.required skillsback-end3 years of hands-on experience with java and spring boot.strong knowledge of building and consuming rest apis.experience with sql databases such as mysql, postgresql, or similar.front-endproficiency in angular latest versions, typescript, and javascript.strong experience with html5, css3, and building responsive uis.knowledge of component-based architecture and state management.role full stack developerindustry type it services  consultingdepartment engineering - software  qaemployment type full time, permanentrole category software developmenteducationug any graduatepg any postgraduate",it-hardware  networking  it-software  software services,Work from Office,"['job', 'descriptionfull', 'stack', 'developer', 'java', 'spring', 'boot', 'angularlocation', 'chennai', 'bangaloreabout', 'jobexperience', 'level', 'midlevel', 'yearsjob', 'overviewwe', 'looking', 'full', 'stack', 'developer', 'least', 'year', 'experience', 'java', 'spring', 'boot', 'angular', 'development', 'candidate', 'responsible', 'developing', 'maintaining', 'optimizing', 'fullstack', 'application', 'working', 'frontend', 'backend', 'deliver', 'highquality', 'solutionskey', 'responsibilitiesdesign', 'developmentdevelop', 'interactive', 'responsive', 'web', 'application', 'using', 'angulardesign', 'implement', 'restful', 'apis', 'using', 'java', 'spring', 'bootensure', 'application', 'scalable', 'performs', 'efficientlyrequired', 'skillsbackend', 'year', 'handson', 'experience', 'java', 'spring', 'bootstrong', 'knowledge', 'building', 'consuming', 'rest', 'apisexperience', 'sql', 'database', 'mysql', 'postgresql', 'similarfrontendproficiency', 'angular', 'latest', 'version', 'typescript', 'javascriptstrong', 'experience', 'html', 'cs', 'building', 'responsive', 'uisknowledge', 'componentbased', 'architecture', 'state', 'managementrole', 'full', 'stack', 'developerindustry', 'type', 'service', 'consultingdepartment', 'engineering', 'software', 'qaemployment', 'type', 'full', 'time', 'permanentrole', 'category', 'software', 'developmenteducationug', 'graduatepg', 'postgraduate']",0.2071428571428571,Positive
