,Job_Title,Company_Name,Location,Experience_Level,Salary_Range,Skills_Required,Job_Description,Industry,Employment_Type,Tokenized_Job_Description,Sentiment_Polarity,Sentiment_Label
0,full stack developer - delhi ncr,yes hr solutions,delhi ncr,Mid Level,Low,"c sharp, angular js, mongodb, dot net developer","4 years building web experiences with a focus on uifront-end and expert knowledge of developing restful services using .net and c.experience with angular, css, html, javascript, jquery. expertise with cross-browser, responsive, cross-platform and design constraints on the web. working with rest api web services.develop and maintain ui component library.participate in technical and design.",it-hardware  networking  it-software  software services,Work from Home,"['year', 'building', 'web', 'experience', 'focus', 'uifrontend', 'expert', 'knowledge', 'developing', 'restful', 'service', 'using', 'net', 'cexperience', 'angular', 'cs', 'html', 'javascript', 'jquery', 'expertise', 'crossbrowser', 'responsive', 'crossplatform', 'design', 'constraint', 'web', 'working', 'rest', 'api', 'web', 'servicesdevelop', 'maintain', 'ui', 'component', 'libraryparticipate', 'technical', 'design']",0.0,Neutral
1,full stack developer,spehre,jaipur,Entry Level,Low,"java, c","internship opportunity at spehrespehre, a leading ai recruitment platform, is offering a 2-month remote internship program for students interested in full stack developer roles.about spehre we appreciate your interest in joining our network of talented professionals. to ensure we match the right candidates with our partners needs.eligibility criteria- graduates, and freshers are eligible to applyinternship details- duration 2 months remote- areas of focus full stack developer benefits- upon completion, interns will receive- various certificates- performance-based stipend- letter of recommendation- potential for pre-placement offer ppo based on outstanding performancethis internship offers a valuable opportunity to gain hands-on experience and build a strong foundation in your chosen field. apply now to kickstart your career",it-hardware  networking  it-software  software services,Work from Home,"['internship', 'opportunity', 'spehrespehre', 'leading', 'ai', 'recruitment', 'platform', 'offering', 'month', 'remote', 'internship', 'program', 'student', 'interested', 'full', 'stack', 'developer', 'rolesabout', 'spehre', 'appreciate', 'interest', 'joining', 'network', 'talented', 'professional', 'ensure', 'match', 'right', 'candidate', 'partner', 'needseligibility', 'criterion', 'graduate', 'fresher', 'eligible', 'applyinternship', 'detail', 'duration', 'month', 'remote', 'area', 'focus', 'full', 'stack', 'developer', 'benefit', 'upon', 'completion', 'intern', 'receive', 'various', 'certificate', 'performancebased', 'stipend', 'letter', 'recommendation', 'potential', 'preplacement', 'offer', 'ppo', 'based', 'outstanding', 'performancethis', 'internship', 'offer', 'valuable', 'opportunity', 'gain', 'handson', 'experience', 'build', 'strong', 'foundation', 'chosen', 'field', 'apply', 'kickstart', 'career']",0.23075396825396824,Positive
2,full-stack developer,futorom examination services private limited,rohini sector 9  delhi,Mid Level,Medium,slack devloper,"we are seeking an experienced full-stack developer to join our dynamic team. the ideal candidate will have a strong background in modern web development technologies, including react, , , and postgresql or supabase. you will be responsible for building and maintaining high-quality web applications, integrating payment apis, and ensuring real-time communication through websockets.key responsibilities develop and maintain web applications using react and . build backend services with  or . design, implement, and manage databases using postgresql or supabase. integrate stripe and paypal apis for payment processing. implement real-time features using websockets. schedule and manage automated tasks using cron jobs. collaborate with cross-functional teams to define, design, and ship new features. optimize applications for maximum speed and scalability. write clean, maintainable, and well-documented code.qualifications experience minimum of x years of professional experience in full-stack development. frontend proficiency in react and . backend strong knowledge of  experience with  is a plus but not mandatory. database experience with postgresql or supabase. payment integration hands-on experience with stripe and paypal apis. real-time communication familiarity with websockets implementation. automation experience with setting up and managing cron jobs. other skills strong understanding of restful apis. familiarity with version control tools like git. ability to write unit and integration tests. excellent problem-solving skills and attention to detail. soft skills strong communication and teamwork abilities. ability to work independently and manage time effectively. eagerness to learn and adapt to new technologies.nice to have experience with supabase as a postgresql alternative. familiarity with other backend frameworks. knowledge",it-hardware  networking  it-software  software services,Work from Home,"['seeking', 'experienced', 'fullstack', 'developer', 'join', 'dynamic', 'team', 'ideal', 'candidate', 'strong', 'background', 'modern', 'web', 'development', 'technology', 'including', 'react', 'postgresql', 'supabase', 'responsible', 'building', 'maintaining', 'highquality', 'web', 'application', 'integrating', 'payment', 'apis', 'ensuring', 'realtime', 'communication', 'websocketskey', 'responsibility', 'develop', 'maintain', 'web', 'application', 'using', 'react', 'build', 'backend', 'service', 'design', 'implement', 'manage', 'database', 'using', 'postgresql', 'supabase', 'integrate', 'stripe', 'paypal', 'apis', 'payment', 'processing', 'implement', 'realtime', 'feature', 'using', 'websockets', 'schedule', 'manage', 'automated', 'task', 'using', 'cron', 'job', 'collaborate', 'crossfunctional', 'team', 'define', 'design', 'ship', 'new', 'feature', 'optimize', 'application', 'maximum', 'speed', 'scalability', 'write', 'clean', 'maintainable', 'welldocumented', 'codequalifications', 'experience', 'minimum', 'x', 'year', 'professional', 'experience', 'fullstack', 'development', 'frontend', 'proficiency', 'react', 'backend', 'strong', 'knowledge', 'experience', 'plus', 'mandatory', 'database', 'experience', 'postgresql', 'supabase', 'payment', 'integration', 'handson', 'experience', 'stripe', 'paypal', 'apis', 'realtime', 'communication', 'familiarity', 'websockets', 'implementation', 'automation', 'experience', 'setting', 'managing', 'cron', 'job', 'skill', 'strong', 'understanding', 'restful', 'apis', 'familiarity', 'version', 'control', 'tool', 'like', 'git', 'ability', 'write', 'unit', 'integration', 'test', 'excellent', 'problemsolving', 'skill', 'attention', 'detail', 'soft', 'skill', 'strong', 'communication', 'teamwork', 'ability', 'ability', 'work', 'independently', 'manage', 'time', 'effectively', 'eagerness', 'learn', 'adapt', 'new', 'technologiesnice', 'experience', 'supabase', 'postgresql', 'alternative', 'familiarity', 'backend', 'framework', 'knowledge']",0.3169856459330143,Positive
3,full stack developer - remote,spehre,ghaziabad,Mid Level,Low,"javascript, react js, html5, nodejs, typescript, mysql","internship and job opportunity at spehrespehre , a leading ai recruitment platform, offers a two-month remote internship program for students interested in full-stack developer roles.about spehre. we appreciate your interest in joining our network of talented professionals. to ensure we match the right candidates with our partners needs.eligibility criteria- graduates and freshers are eligible to applyinternship details- duration 2 months remote- areas of focus full stack developer benefits- upon completion, interns will receive- various certificates- performance-based stipend- letter of recommendation- potential for pre-placement offer ppo based on outstanding performancethis internship offers a valuable opportunity to gain hands-on experience and build a strong foundation in your chosen field. apply now to kickstart your career",it-hardware  networking  it-software  software services,Work from Home,"['internship', 'job', 'opportunity', 'spehrespehre', 'leading', 'ai', 'recruitment', 'platform', 'offer', 'twomonth', 'remote', 'internship', 'program', 'student', 'interested', 'fullstack', 'developer', 'rolesabout', 'spehre', 'appreciate', 'interest', 'joining', 'network', 'talented', 'professional', 'ensure', 'match', 'right', 'candidate', 'partner', 'needseligibility', 'criterion', 'graduate', 'fresher', 'eligible', 'applyinternship', 'detail', 'duration', 'month', 'remote', 'area', 'focus', 'full', 'stack', 'developer', 'benefit', 'upon', 'completion', 'intern', 'receive', 'various', 'certificate', 'performancebased', 'stipend', 'letter', 'recommendation', 'potential', 'preplacement', 'offer', 'ppo', 'based', 'outstanding', 'performancethis', 'internship', 'offer', 'valuable', 'opportunity', 'gain', 'handson', 'experience', 'build', 'strong', 'foundation', 'chosen', 'field', 'apply', 'kickstart', 'career']",0.20992063492063492,Positive
4,full stack developer,spehre,jaipur,Entry Level,Low,basic computer skills,"internship opportunity at spehrespehre, a leading ai recruitment platform, is offering a 2-month remote internship program for students interested in full stack developer roles.about spehre we appreciate your interest in joining our network of talented professionals. to ensure we match the right candidates with our partners needs.eligibility criteria- graduates, and freshers are eligible to applyinternship details- duration 2 months remote- areas of focus full stack developer benefits- upon completion, interns will receive- various certificates- performance-based stipend- letter of recommendation- potential for pre-placement offer ppo based on outstanding performancethis internship offers a valuable opportunity to gain hands-on experience and build a strong foundation in your chosen field. apply now to kickstart your careersend resume on whatapp",it-hardware  networking  it-software  software services,Work from Home,"['internship', 'opportunity', 'spehrespehre', 'leading', 'ai', 'recruitment', 'platform', 'offering', 'month', 'remote', 'internship', 'program', 'student', 'interested', 'full', 'stack', 'developer', 'rolesabout', 'spehre', 'appreciate', 'interest', 'joining', 'network', 'talented', 'professional', 'ensure', 'match', 'right', 'candidate', 'partner', 'needseligibility', 'criterion', 'graduate', 'fresher', 'eligible', 'applyinternship', 'detail', 'duration', 'month', 'remote', 'area', 'focus', 'full', 'stack', 'developer', 'benefit', 'upon', 'completion', 'intern', 'receive', 'various', 'certificate', 'performancebased', 'stipend', 'letter', 'recommendation', 'potential', 'preplacement', 'offer', 'ppo', 'based', 'outstanding', 'performancethis', 'internship', 'offer', 'valuable', 'opportunity', 'gain', 'handson', 'experience', 'build', 'strong', 'foundation', 'chosen', 'field', 'apply', 'kickstart', 'careersend', 'resume', 'whatapp']",0.23075396825396824,Positive
5,looking for full stack developer,spehre,roorkee,Entry Level,Low,"frontend developer, full stack developer","hey guys, sandeep here internship opportunity at spehrespehre, a leading ai recruitment platform, is offering a 2-month remote internship program for students interested in full stack developer roles.about spehre we appreciate your interest in joining our network of talented professionals. to ensure we match the right candidates with our partners needs.eligibility criteria- graduates, and freshers are eligible to applyinternship details- duration 2 months remote- areas of focus full stack developer benefits- upon completion, interns will receive- various certificates- performance-based stipend- letter of recommendation- potential for pre-placement offer ppo based on outstanding performancethis internship offers a valuable opportunity to gain hands-on experience and build a strong foundation in your chosen field. apply now to kickstart your careerinternship opportunity at spehrespehre, a leading ai recruitment platform, is offering a 2-month remote internship program for students interested in full stack developer roles.about spehre we appreciate your interest in joining our network of talented professionals. to ensure we match the right candidates with our partners needs.eligibility criteria- graduates, and freshers are eligible to applyinternship details- duration 2 months remote- areas of focus full stack developer benefits- upon completion, interns will receive- various certificates- performance-based stipend- letter of recommendation- potential for pre-placement offer ppo based on outstanding performancethis internship offers a valuable opportunity to gain hands-on experience and build a strong foundation in your chosen field. apply now to kickstart your career",it-hardware  networking  it-software  software services,Work from Home,"['hey', 'guy', 'sandeep', 'internship', 'opportunity', 'spehrespehre', 'leading', 'ai', 'recruitment', 'platform', 'offering', 'month', 'remote', 'internship', 'program', 'student', 'interested', 'full', 'stack', 'developer', 'rolesabout', 'spehre', 'appreciate', 'interest', 'joining', 'network', 'talented', 'professional', 'ensure', 'match', 'right', 'candidate', 'partner', 'needseligibility', 'criterion', 'graduate', 'fresher', 'eligible', 'applyinternship', 'detail', 'duration', 'month', 'remote', 'area', 'focus', 'full', 'stack', 'developer', 'benefit', 'upon', 'completion', 'intern', 'receive', 'various', 'certificate', 'performancebased', 'stipend', 'letter', 'recommendation', 'potential', 'preplacement', 'offer', 'ppo', 'based', 'outstanding', 'performancethis', 'internship', 'offer', 'valuable', 'opportunity', 'gain', 'handson', 'experience', 'build', 'strong', 'foundation', 'chosen', 'field', 'apply', 'kickstart', 'careerinternship', 'opportunity', 'spehrespehre', 'leading', 'ai', 'recruitment', 'platform', 'offering', 'month', 'remote', 'internship', 'program', 'student', 'interested', 'full', 'stack', 'developer', 'rolesabout', 'spehre', 'appreciate', 'interest', 'joining', 'network', 'talented', 'professional', 'ensure', 'match', 'right', 'candidate', 'partner', 'needseligibility', 'criterion', 'graduate', 'fresher', 'eligible', 'applyinternship', 'detail', 'duration', 'month', 'remote', 'area', 'focus', 'full', 'stack', 'developer', 'benefit', 'upon', 'completion', 'intern', 'receive', 'various', 'certificate', 'performancebased', 'stipend', 'letter', 'recommendation', 'potential', 'preplacement', 'offer', 'ppo', 'based', 'outstanding', 'performancethis', 'internship', 'offer', 'valuable', 'opportunity', 'gain', 'handson', 'experience', 'build', 'strong', 'foundation', 'chosen', 'field', 'apply', 'kickstart', 'career']",0.23075396825396824,Positive
6,full stack developer,particleblack,chennai,Mid Level,Low,"js, node js","develop and maintain dynamic, full-stack applications using javascript, angular, and . collaborate with cross-functional teams to deliver high-quality, scalable software solutions from front-end to back-end.",it-hardware  networking  it-software  software services,Work from Home,"['develop', 'maintain', 'dynamic', 'fullstack', 'application', 'using', 'javascript', 'angular', 'collaborate', 'crossfunctional', 'team', 'deliver', 'highquality', 'scalable', 'software', 'solution', 'frontend', 'backend']",0.0,Neutral
7,opening for full stack developer,adetive solutions private limited,ramanathapuram,Entry Level,Low,"mysql, nodejs, php, react js","job description for adetive mern or php1. mern stack developer full-stack role focused on mongodb, express, react, and  to build and scale dynamic web applications.or2. php full stack developer full-stack role focused on php, plus front-end development knowledge of laravel framework addons is an advantage optional",it-hardware  networking  it-software  software services,Work from Home,"['job', 'description', 'adetive', 'mern', 'php', 'mern', 'stack', 'developer', 'fullstack', 'role', 'focused', 'mongodb', 'express', 'react', 'build', 'scale', 'dynamic', 'web', 'applicationsor', 'php', 'full', 'stack', 'developer', 'fullstack', 'role', 'focused', 'php', 'plus', 'frontend', 'development', 'knowledge', 'laravel', 'framework', 'addons', 'advantage', 'optional']",0.175,Positive
8,full stack developer,sphere,wardha,Entry Level,Low,"react js, java-script, node js, css-cascading style sheets, html5, css3, mysql, core java",this is full stack internship hiring for freshers and graduates those people can be apply for itcontact me on whatsapp-,it-hardware  networking  it-software  software services,Work from Home,"['full', 'stack', 'internship', 'hiring', 'fresher', 'graduate', 'people', 'apply', 'itcontact', 'whatsapp']",0.35,Positive
9,full stack developer full time,websenor,udaipur,Entry Level,Low,"c programming language, data base, cybersecurity analyst, ui",developing front end website architecture.designing user interactions on web pages.developing back-end website applications.creating servers and databases for functionality.ensuring cross-platform optimization for mobile phones.ensuring responsiveness of applications.working alongside graphic designers for web design features.seeing through a project from conception to finished product.designing and developing apis.meeting both technical and consumer needs.staying abreast of developments in web applications and programming languages.,it-hardware  networking  it-software  software services,Work from Office,"['developing', 'front', 'end', 'website', 'architecturedesigning', 'user', 'interaction', 'web', 'pagesdeveloping', 'backend', 'website', 'applicationscreating', 'server', 'database', 'functionalityensuring', 'crossplatform', 'optimization', 'mobile', 'phonesensuring', 'responsiveness', 'applicationsworking', 'alongside', 'graphic', 'designer', 'web', 'design', 'featuresseeing', 'project', 'conception', 'finished', 'productdesigning', 'developing', 'apismeeting', 'technical', 'consumer', 'needsstaying', 'abreast', 'development', 'web', 'application', 'programming', 'language']",0.0,Neutral
